196,0103517007,0103517,Cabasaran
197,072214003,072214,Calidngan
198,034902006,034902,Cruz
199,043412022,043412,Santo Domingo
200,045645026,045645,Manggalang Tulo-tulo
201,042113011,042113,Pantihan I (Balayungan)
202,050502013,050502,Comun
203,071226018,071226,Poblacion
204,037105005,037105,Zone 6 Pob. (Baytan)
205,083720003,083720,Baldoza
206,031423019,031423,San Jose Patag
207,0133906077,0133906,Barangay 471
208,0142707008,0142707,Namnama
209,097308003,097308,Bucayan
210,042101026,042101,Bilog
211,0101316016,0101316,Payad
212,012809030,012809,Suyo
213,013301006,013301,Macalva Norte
214,071239008,071239,Ewon
215,012906045,012906,Tamurong Primero
216,043427007,043427,Cambuja
217,097338008,097338,Matin-ao
218,015522033,015522,Tonton
219,0153618083,0153618,Towanao Arangga
220,034924007,034924,Panabingan
221,0153641006,0153641,Dimapaok
222,0101322014,0101322,Mauswagon
223,036904017,036904,Santa Rita
224,045622047,045622,Maguilayan
225,086004016,086004,Hubasan
226,0118202033,0118202,Mangloy
227,0166724023,0166724,Libuac
228,021515013,021515,Malabbac
229,086012026,086012,Oyandic
230,097223014,097223,Bayanihan
231,042109100,042109,Toclong I-C
232,084807007,084807,Cade-an
233,0118203011,0118203,Tagnanan (Mampising)
234,0103521018,0103521,Poona Kapatagan
235,0153618042,0153618,Talub Langi
236,050501018,050501,Igang
237,071210031,071210,Talisay
238,042114007,042114,Poblacion I (Barangay I)
239,037112010,037112,Paite
240,042103014,042103,Molino I
241,045629002,045629,Cabuyao Sur
242,0101312025,0101312,Patpat (Lapu-lapu)
243,0184608012,0184608,Ninoy Aquino
244,051612007,051612,Guinacutan
245,061912008,061912,Cabugao
246,051608005,051608,Calaburnay
247,063016017,063016,Licu-an
248,083719037,083719,San Roque
249,051714004,051714,Burabod
250,072217070,072217,Santa Cruz (Pob.)
251,0175110010,0175110,Barangay 6 (Pob.)
252,0126502027,0126502,Sinapulan
253,0156619007,0156619,Sucuban
254,083717063,083717,Sawahon
255,087808012,087808,Lico
256,0101319006,0101319,Puntian
257,097222007,097222,Tamil
258,098313024,098313,Mahayahay
259,0118604007,0118604,Mamacao
260,0126511015,0126511,San Antonio
261,041029032,041029,Poblacion 8
262,061914003,061914,Balijuagan
263,082606008,082606,Dapdap
264,021519008,021519,Cabbo
265,051703019,051703,Palo
266,037112001,037112,Alusiis
267,084811003,084811,Barobaybay
268,083718025,083718,Candao (Pob.)
269,0124709054,0124709,Upper Glad II
270,086413018,086413,Cahayag
271,086005032,086005,Pangdan
272,045634039,045634,Sumag Norte
273,063028040,063028,Danao
274,045802007,045802,San Isidro (Pob.)
275,083701049,083701,San Francisco
276,098301001,098301,Alegria
277,0104212020,0104212,Mamanga Gamay
278,082618005,082618,Barangay No. 3 (Pob.)
279,0166801013,0166801,Mamis
280,050512034,050512,Mayao
281,0175301004,0175301,Barake
282,0101312018,0101312,Indalaza
283,052010007,052010,Buenavista
284,083718030,083718,San Miguel (Pob.)
285,084808042,084808,Pangdan
286,030806015,030806,St. Francis II
287,0153601027,0153601,Tuka I
288,072223001,072223,Baliang
289,086402039,086402,San Ramon
290,083717004,083717,Banayon
291,0101801011,0101801,Panghiawan
292,051602021,051602,Villa Aurora
293,060613002,060613,Badiang
294,045640002,045640,Camflora
295,099701016,099701,Dona Ramona T. Alano (Isabela Westsite)
296,012901003,012901,Anaao
297,0126303035,0126303,Dadiangas North
298,061912009,061912,Gabuc (Caugiat)
299,097307057,097307,Anonang
300,0153602050,0153602,Bagoaingud
301,060415013,060415,Poblacion
302,051606040,051606,Maot
303,086409030,086409,Cadaruhan Sur
304,051718017,051718,Calabnigan
305,015543007,015543,Guzon
306,035419004,035419,San Joaquin (Pob.)
307,0156612013,0156612,East Sisangat
308,0142705015,0142705,Salamague
309,0104210014,0104210,Cavinte
310,035417018,035417,Santo Tomas
311,050513027,050513,Barangay V (Pob.)
312,0175102001,0175102,Concepcion
313,042112010,042112,Barangay 5 (Pob.)
314,0174002013,0174002,Tungib-Lipata
315,035412027,035412,Sapang Kawayan
316,0153609022,0153609,Taganonok
317,051612015,051612,Barangay II (Pob.)
318,0103503013,0103503,Pange
319,098305039,098305,Makilas
320,0184526015,0184526,Mambulac
321,012904016,012904,Manaboc
322,072253005,072253,McArthur
323,015509013,015509,Poblacion
324,035417010,035417,Santa Catalina
325,0126501010,0126501,South Sepaka
326,086417018,086417,Mabicay
327,042117017,042117,Sapa III
328,063018018,063018,Dacutan
329,063038014,063038,Mandu-awak
330,083714007,083714,Culasian
331,013316038,013316,Saracat
332,0112317035,0112317,San Miguel (Magamono)
333,034930050,034930,San Miguel na Munti
334,034903087,034903,Nabao (Pob.)
335,051731007,051731,Kilantaao
336,051733020,051733,Salogon
337,050514005,050514,Anopol
338,083710073,083710,Villa Patria
339,097210001,097210,Anastacio
340,0166819017,0166819,San Agustin Norte
341,050507015,050507,Burabod
342,072220011,072220,Pilipog
343,083734026,083734,Tag-os
344,083702055,083702,Salvacion
345,0133910028,0133910,Barangay 713
346,0140122010,0140122,Lumobang
347,097318030,097318,Cabaloran
348,0184520013,0184520,Cansilayan
349,042111015,042111,Binakayan-Aplaya
350,0137604014,0137604,San Martin De Porres
351,061907004,061907,Balighot
352,086003007,086003,Ba-ay
353,071210013,071210,Desamparados (Pob.)
354,083728017,083728,Limba
355,0112411011,0112411,Punta Piape
356,051734014,051734,Calagbangan
357,023102049,023102,San Guillermo
358,083748012,083748,Cabalagnan
359,041027009,041027,Pacifico
360,015529014,015529,Salud
361,045637022,045637,Villa Francia
362,036903025,036903,Libueg
363,086003030,086003,Cagbilwang
364,0184610007,0184610,Bunao
365,067902021,067902,Poblacion
366,023131019,023131,Libertad
367,0160201001,0160201,Abilan
368,041006001,041006,Alagao
369,0112402128,0112402,Tungakalan
370,0184511017,0184511,Nanunga
371,0112401015,0112401,Managa
372,012915005,012915,Namitpit
373,083717033,083717,Maragondong
374,0118204036,0118204,Tagbaros
375,037706004,037706,Calaocan
376,097205030,097205,Patawag
377,0126313020,0126313,Little Baguio
378,045622004,045622,Banabahin Ilaya
379,0104312008,0104312,Kagumahan
380,025010012,025010,Kayapa Proper East
381,054115007,054115,Intusan
382,082618002,082618,Bagte
383,0133906042,0133906,Barangay 436
384,060410021,060410,San Jose
385,0133906205,0133906,Barangay 598
386,097305010,097305,Kagawasan
387,0133914085,0133914,Barangay 892
388,0133905033,0133905,Barangay 331
389,056213042,056213,Poctol
390,072226013,072226,Ibo
391,056216032,056216,San Juan (Roro)
392,0150702035,0150702,Luksumbang
393,083719005,083719,Baliw
394,097306009,097306,Legarda 1
395,0104308071,0104308,Tinabalan
396,051727014,051727,San Antonio
397,0112317022,0112317,Linosutan
398,0144403010,0144403,Laylaya
399,0175307005,0175307,Concepcion
400,0103507010,0103507,Poblacion
401,086406016,086406,Molopolo
402,0103501008,0103501,Esperanza
403,098307024,098307,Sawa
404,063022079,063022,Kasingkasing
405,063017029,063017,Minanga
406,071213016,071213,Liboron
407,086413022,086413,Santa Cruz
408,063043017,063043,Bitaog-Taytay
409,0126319015,0126319,Siluton
410,0124709014,0124709,Kadigasan
411,086002041,086002,Roxas
412,015528015,015528,Primicias
413,0126505018,0126505,Datu Ito Andong
414,034913021,034913,San Vicente
415,060616007,060616,Bongbongan II
416,097332033,097332,Labuan
417,045649010,045649,General Luna
418,097213037,097213,Pacuhan
419,0166806005,0166806,Puyat
420,0168505004,0168505,Helene
421,041026026,041026,San Mariano
422,051715002,051715,Bagumbayan Grande (Pob.)
423,0128002018,0128002,Lago
424,0156613009,0156613,Buroh
425,0184618008,0184618,Caranoche
426,037101008,037101,Maguisguis
427,031420014,031420,Santa Cruz
428,082601010,082601,Carapdapan
429,0184518011,0184518,Santa Teresa
430,0124718022,0124718,Naje
431,0124704038,0124704,Singao
432,0153832004,0153832,Paitan
433,030804012,030804,Gomez (Pob.)
434,0153617142,0153617,Norhaya Village
435,0103505004,0103505,Balili
436,061917049,061917,Santa Ana
437,045637013,045637,Barangay II (Pob.)
438,041026021,041026,Pook Ni Banal
439,071229001,071229,Agape
440,023125014,023125,Salucong
441,0153615072,0153615,Jose Abad Santos
442,045649028,045649,R. Magsaysay (Pob.)
443,063028012,063028,Baje
444,0133906182,0133906,Barangay 576
445,097303018,097303,Kanipaan
446,086417030,086417,Zone IV (Pob.)
447,0141102161,0141102,Padre Zamora
448,083726022,083726,Tongonan
449,0112402045,0112402,Fatima (Benowang)
450,060404014,060404,Man-up
451,0137404118,0137404,Talayan
452,061909041,061909,Tanza Sur
453,084805070,084805,Santol (Pob.)
454,042123013,042123,Gavino Maderan
455,023101033,023101,Victoria
456,013313011,013313,Carunuan West
457,030812008,030812,San Juan (Pob.)
458,099701055,099701,Timpul
459,0103502015,0103502,Maria-Cristina
460,063036008,063036,Purok IV (Pob.)
461,097226014,097226,Tiniguiban
462,083738034,083738,Barangay 21 (Pob.)
463,0141102022,0141102,City Camp Central
464,013312005,013312,Duplas
465,072248009,072248,Labangon
466,0184609021,0184609,Poblacion III
467,0137402013,0137402,Marikina Heights (Concepcion)
468,0184510007,0184510,Libacao
469,054119020,054119,Santa Rosa
470,063022012,063022,Baldoza
471,0124708035,0124708,Salvacion
472,034903076,034903,Sanbermicristi (Pob.)
473,045608024,045608,Santa Catalina Norte
474,043427016,043427,Pao-o
475,0141108008,0141108,Datakan
476,0103517001,0103517,Alowin
477,025706015,025706,Wasid
478,060618006,060618,Buluangan II
479,083728004,083728,Bocawon
480,023116016,023116,San Isidro
481,012912007,012912,Bungro
482,051714008,051714,Dangla
483,082622009,082622,Riverside (Pob.)
484,060603010,060603,Salvacion
485,012816007,012816,Laoa
486,0126303027,0126303,Tambler
487,0101305001,0101305,Bontongon
488,0153603033,0153603,Limbo
489,0160212002,0160212,Balangbalang
490,0133906061,0133906,Barangay 455
491,0157006011,0157006,Bunay Bunay Center
492,0166717012,0166717,Macalaya
493,072217062,072217,Punta Princesa
494,043417013,043417,Buboy
495,056209015,056209,Liang
496,012812017,012812,"Bgy. No. 43, Cavit"
497,0128002011,0128002,Datalbukay
498,098309019,098309,Upper Sulitan
499,061917006,061917,Agpalali
500,0184615013,0184615,Lamogong
501,097203003,097203,Biniray
502,023103014,023103,Esperanza West
503,083747060,083747,Barangay 37
504,0104217009,0104217,Nueva Vista (Masawan)
505,041004010,041004,Sala
506,0156612038,0156612,North Manta
507,0137501080,0137501,Barangay 80
508,083731005,083731,Hinaguimitan
509,012812022,012812,"Bgy. No. 34-B, Gabu Norte East"
510,097220029,097220,San Nicolas (Pob.)
511,0137404068,0137404,Nagkaisang Nayon
512,0140118001,0140118,Alinaya
513,0166721006,0166721,Libertad
514,013301012,013301,San Agustin Sur
515,086402026,086402,Pangi
516,0104210020,0104210,Gala
517,0153631005,0153631,Bolawan
518,051724013,051724,Dinaga
519,060606040,060606,San Pascual
520,0166801017,0166801,San Jose
521,060615003,060615,Alegre
522,0128004006,0128004,Kablacan
523,015502004,015502,Bocacliw
524,041012048,041012,Sinisian East
525,097315001,097315,Bag-ong Balamban
526,031402002,031402,Borol 2nd
527,072227013,072227,Tayud
528,051726007,051726,Patong
529,0153613030,0153613,Riray
530,061907012,061907,Fernandez
531,084804011,084804,Sagaosawan
532,0126315011,0126315,San Felipe
533,0140118005,0140118,Immuli
534,0118207006,0118207,Inambatan
535,051717033,051717,San Sebastian
536,086003126,086003,Quezon
537,0175908003,0175908,Ambulong
538,098307026,098307,Taguisian
539,083719014,083719,Himo-aw
540,0184615007,0184615,Campuyo
541,013301027,013301,San Manuel Sur
542,071212028,071212,Villafuerte
543,071224042,071224,Poblacion
544,0166724001,0166724,Alang-alang
545,0104325002,0104325,Calamcam
546,050518003,050518,Baybay
547,0137404055,0137404,Loyola Heights
548,036909016,036909,Capaoayan
549,061903018,061903,Santo Angel
550,061908014,061908,Cala-agus
551,0101304028,0101304,San Roque
552,013311007,013311,Balecbec
553,041028016,041028,San Luis
554,071217003,071217,Candelaria
555,012926032,012926,Sumagui
556,013307022,013307,Palugsi-Limmansangan
557,0104326009,0104326,Tambobong
558,063029015,063029,Caigon
559,037112003,037112,Candelaria (Pob.)
560,0153609053,0153609,Pamalian
561,052010008,052010,Burgos
562,063030080,063030,Nam-o Norte
563,0153815025,0153815,Nuro Poblacion
564,041032001,041032,Bacao
565,097325013,097325,Molansong
566,0175108007,0175108,Rumbang
567,015524012,015524,Bakitiw
568,0153817006,0153817,Lamud
569,0160311016,0160311,Marbon
570,063045030,063045,Danao
571,0124706016,0124706,Doles
572,023114061,023114,Morado
573,0175207021,0175207,Waygan
574,012808021,012808,Santa Cruz
575,013318012,013318,Ramot
576,021514008,021514,Calayan
577,063025072,063025,Tuburan
578,013302006,013302,Manga
579,034928032,034928,San Isidro
580,045630013,045630,Ilayang Palsabangon
581,0112501016,0112501,San Victor
582,042116016,042116,Santa Rosa II
583,042119007,042119,Calabuso (Calabuso South & North)
584,0184620014,0184620,Tubigon
585,030809006,030809,Centro II (Pob.)
586,086407070,086407,San Agustin
587,034904004,034904,Concepcion
588,083701034,083701,Mag-atubang
589,0137404039,0137404,Escopa III
590,0133901104,0133901,Barangay 104
591,015524040,015524,Lepa
592,098316010,098316,San Pedro
593,045619009,045619,Binambang
594,056211033,056211,Tulatula Norte
595,054113006,054113,Fabrica
596,082606001,082606,Aroganga
597,0112402032,0112402,Catigan
598,083720012,083720,Himokilan Island
599,084806044,084806,Vienna Maria
600,086403007,086403,Calag-itan
601,086023015,086023,Mualbual
602,0168502011,0168502,Tigbao
603,051722001,051722,Antipolo
604,031417014,031417,Parulan
605,051612008,051612,Mangcayo
606,086023023,086023,Tubigan
607,0103506017,0103506,Koreo
608,071242012,071242,Poblacion III
609,0153624012,0153624,Buadi Babai
610,0184520014,0184520,Damsite
611,098316007,098316,Looc-labuan
612,071240014,071240,Man-od
613,098308003,098308,Camanga
614,0175305013,0175305,Rio Tuba
615,0104207012,0104207,Mialem
616,063001025,063001,Punta Buri
617,0140112008,0140112,Quillat
618,0126315007,0126315,Mangilala
619,045618043,045618,San Miguel
620,054119012,054119,Mabini
621,0133905080,0133905,Barangay 377
622,013301019,013301,San Jose Norte
623,045608015,045608,Masalukot IV
624,042103045,042103,Molino II
625,051728007,051728,Curry
626,0129804002,0129804,Kalanganan
627,0133905028,0133905,Barangay 326
628,0104317019,0104317,Santa Cruz
629,0126506022,0126506,Taguisa
630,034919021,034919,Popolon Pagas
631,056207019,056207,Lourdes
632,042120018,042120,Barangay III (Pob.)
633,054101025,054101,Matalangtalang
634,0112402036,0112402,Crossing Bayabas
635,0128002030,0128002,Tango
636,0126316031,0126316,Salacafe
637,083726001,083726,Aguiting
638,0153632019,0153632,Inoma
639,043419006,043419,Dingin
640,097201046,097201,Kauswagan (Talisay)
641,045641006,045641,Buliran
642,051607013,051607,Del Rosario (Tagongtong)
643,045644020,045644,San Juan
644,0184531022,0184531,Barangay XVII
645,025002003,025002,Bone North
646,0133906215,0133906,Barangay 608
647,0143209006,0143209,Ballayangon
648,0168501020,0168501,Diegas
649,043407008,043407,Kanluran Talaongan
650,083719029,083719,Eastern Barangay (Pob.)
651,045606004,045606,Bonifacio
652,0153628047,0153628,Pagalamatan
653,036905025,036905,Parulung
654,0137602014,0137602,Olympia
655,0133901234,0133901,Barangay 233
656,0133906164,0133906,Barangay 558
657,0175109022,0175109,Lagnas
658,0160203028,0160203,Poblacion 5
659,084804004,084804,Landusan
660,0160303020,0160303,Remedios
661,0124714005,0124714,Bual
662,023119014,023119,Trinidad
663,063028051,063028,Lang-og
664,0156613014,0156613,Kabatuhan Tiis
665,045639003,045639,Banot
666,072251003,072251,Bato
667,086413003,086413,Central (Pob.)
668,072231002,072231,Curva
669,042119030,042119,Kaybagal East
670,0153812036,0153812,Pigcalagan
671,0153811015,0153811,Magsaysay
672,0153613040,0153613,Liangan
673,030804025,030804,Pagalanggang
674,0118602016,0118602,Kitayo
675,0184510005,0184510,Carabalan
676,0137501135,0137501,Barangay 135
677,0153811032,0153811,Datu Macarimbang Biruar
678,034904002,034904,Bagong Sikat
679,0104305027,0104305,Barangay 33 (Pob.)
681,042120017,042120,Barangay II (Pob.)
682,072250006,072250,Lagtang
683,015522014,015522,Dulag
684,067901016,067901,Mclain
685,0103519016,0103519,Pancilan
686,0101319008,0101319,San Vicente
687,051727008,051727,Macad (Hebrio Lourdes)
688,043424070,043424,Santa Isabel
689,0175214008,0175214,Fortuna
690,0104305053,0104305,Lapasan
691,012821009,012821,San Joaquin (Pob.)
692,023112053,023112,Santa Maria
693,0153612052,0153612,Ligue
694,072205044,072205,Tulic
695,045645018,045645,Janagdong 1
696,0142708010,0142708,Majlong
697,0150703033,0150703,Pamucalin
698,0141114005,0141114,Daclan
699,031416012,031416,San Roque
700,098309005,098309,Gubawang
701,0126512009,0126512,Kiadsam
702,023102014,023102,Kalusutan
703,051602016,051602,San Antonio
704,021511036,021511,Pata West
705,086012013,086012,Candomacol
706,097325012,097325,Miasin
707,061905003,061905,Balaring
708,063022101,063022,Magdalo
709,015504006,015504,Caranglaan
710,072210005,072210,Budbud
711,012914014,012914,Estancia
712,086023004,086023,Boblaran
713,013306005,013306,Bangaoilan West
714,051721016,051721,San Miguel (Pob.)
715,0129804030,0129804,Rosary Heights XI
716,045618010,045618,Calimpak
717,043424049,043424,San Gregorio
718,063012050,063012,Zone V Pob. (Barangay 5)
719,035403016,035403,Paralaya
720,042109073,042109,Medicion I-C
